movie,network_trace,algorithm,buffer size,total played utility,time average played utility,total played bitrate,time average played bitrate,total play time,total play time chunks,total rebuffer,rebuffer ratio,time average rebuffer,total rebuffer events,time average rebuffer events,total bitrate change,time average bitrate change,total log bitrate change,time average log bitrate change,time average score,over estimate count,over estimate,leq estimate count,leq estimate,estimate,rampup time,total reaction time,qoe
../data/bbb.json,../data/hd_fs/trace0975.json,ABR_A2C.py,25000.0,645.764217,2.780273,1188230.0,5115.805862,696.799311,232.266437,99.323833,0.142543,0.427629,20.0,0.086108,5770.0,24.84216,3.261435,0.014042,2.067559,36.0,2061.895479,162.0,4979.399801,-3699.164295,9.290712,0.0,510.95547990614284
../data/bbb.json,../data/hd_fs/trace0828.json,ABR_A2C.py,25000.0,645.764217,2.646145,1188230.0,4869.004685,732.118827,244.039609,134.333404,0.183486,0.550457,11.0,0.045075,5770.0,23.643703,3.261435,0.013364,1.728716,16.0,5451.782511,182.0,6423.763164,-5464.12311,18.944337,8.944337,486.30415968961904
../data/bbb.json,../data/hd_fs/trace0892.json,ABR_A2C.py,25000.0,645.764217,2.758768,1188230.0,5076.235293,702.231042,234.077014,104.717798,0.149122,0.447365,18.0,0.076898,5770.0,24.650007,3.261435,0.013933,2.01316,24.0,3723.690385,174.0,11438.118995,-9600.323919,9.841265,0.0,507.0030398090476
../data/bbb.json,../data/hd_fs/trace0240.json,ABR_A2C.py,25000.0,645.764217,2.792868,1188230.0,5138.979585,693.657163,231.219054,96.206682,0.138695,0.416085,19.0,0.082173,5770.0,24.954691,3.261435,0.014105,2.099393,44.0,2071.027126,154.0,5218.064344,-3598.26624,8.477228,10.0,513.2701483242859
../data/bbb.json,../data/hd_fs/trace0587.json,ABR_A2C.py,25000.0,645.764217,2.723519,1188230.0,5011.376386,711.319551,237.106517,113.719472,0.159871,0.479613,17.0,0.071698,5770.0,24.335054,3.261435,0.013755,1.924164,14.0,4840.986509,184.0,5260.418577,-4546.177813,11.436228,0.0,500.52471734585714
../data/bbb.json,../data/hd_fs/trace0934.json,ABR_A2C.py,25000.0,645.764217,2.757771,1188230.0,5074.400285,702.484983,234.161661,104.999458,0.149469,0.448406,18.0,0.07687,5770.0,24.641096,3.261435,0.013928,2.010428,40.0,5150.901286,158.0,11296.562077,-7973.842205,9.58561,0.0,506.8197519193333
../data/bbb.json,../data/hd_fs/trace0562.json,ABR_A2C.py,25000.0,645.764217,2.73349,1188230.0,5029.721866,708.725074,236.241691,111.185823,0.156881,0.470644,16.0,0.067727,5770.0,24.424139,3.261435,0.013806,1.949082,39.0,4541.856744,159.0,9349.877209,-6613.626582,10.733804,0.0,502.3571232128095
../data/bbb.json,../data/hd_fs/trace0257.json,ABR_A2C.py,25000.0,645.764217,2.747242,1188230.0,5055.027113,705.177227,235.059076,107.592666,0.152575,0.457726,17.0,0.072322,5770.0,24.547021,3.261435,0.013875,1.984365,32.0,2644.777475,166.0,6724.613033,-5210.368102,11.628782,1.628782,504.8846982762381
../data/bbb.json,../data/hd_fs/trace0969.json,ABR_A2C.py,25000.0,645.764217,2.724466,1188230.0,5013.118352,711.07238,237.024127,113.568295,0.159714,0.479142,18.0,0.075942,5770.0,24.343513,3.261435,0.01376,1.925896,56.0,5221.529221,142.0,20870.968002,-13491.271818,10.536807,0.0,500.69870693414293
../data/bbb.json,../data/hd_fs/trace0595.json,ABR_A2C.py,25000.0,645.764217,2.805265,1188230.0,5161.790735,690.591731,230.197244,93.164584,0.134905,0.404716,18.0,0.078194,5770.0,25.065461,3.261435,0.014168,2.130738,32.0,3058.097175,166.0,7304.468648,-5629.710535,8.203582,0.0,515.5486018090952
